Titulo,Autor,Precio,Precio_socio,Link
Txinako Loreontzi Bat,Begoña Ibarrola / Marta Balaguer (il. ),7.4,7.03,https://www.elkar.eus/es/liburu_fitxa/txinako-loreontzi-bat/ibarrola-begona/balaguer-marta-il/9788490275689
Conectate Con La Naturaleza - Terapia Horticola Y Baños De Bosque,Jabier Herreros Lamas / Hodei Herreros Rodriguez (il),16.05,15.25,https://www.elkar.eus/es/liburu_fitxa/conectate-con-la-naturaleza-terapia-horticola-y-banos-de-bosque/herreros-lamas-jabier/herreros-rodriguez-hodei-il/9788471485670
Piztia Txikiak,Pascale Hedelin / Dan Kerleroux (il. ) / Anne Eydoux (il. ),13.35,12.68,https://www.elkar.eus/es/liburu_fitxa/piztia-txikiak/hedelin-pascale/kerleroux-dan-il/eydoux-anne-il/9788498436747
Que Pequeño Es El Mundo,Martin Suter,20.95,19.9,https://www.elkar.eus/es/liburu_fitxa/que-pequeno-es-el-mundo/suter-martin/9788416213726
La viuda,Fiona Barton,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/viuda-la/barton-fiona/9788408155546
Las voces del estrecho,Andres Sorel,16.0,15.2,https://www.elkar.eus/es/liburu_fitxa/voces-del-estrecho-las/sorel-andres/9788446043027
2084 - El Fin Del Mundo,Boualem Sansal,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/2084-el-fin-del-mundo/sansal-boualem/9788432229480
Gezurren Basoa,Alberto Ladron Arana,21.85,20.76,https://www.elkar.eus/es/liburu_fitxa/gezurren-basoa/ladron-arana-alberto/9788490276020
Elurte Amaiezina,Agustin Fernandez Paz,15.8,15.01,https://www.elkar.eus/es/liburu_fitxa/elurte-amaiezina/fernandez-paz-agustin/9788490275757
Alsina,Xabier Mendiguren Elizegi,20.75,19.71,https://www.elkar.eus/es/liburu_fitxa/alsina/mendiguren-elizegi-xabier/9788497834957
El año que el mundo se vino abajo,Clare Furnis,14.5,13.78,https://www.elkar.eus/es/liburu_fitxa/ano-que-el-mundo-se-vino-abajo-el/furnis-clare/9788416555017
Asterix Y Los Juegos Olimpicos,Rene Goscinny,12.9,12.26,https://www.elkar.eus/es/liburu_fitxa/asterix-y-los-juegos-olimpicos/goscinny-rene/9788469605943
Rio Negro,Arnaldur Indridason,15.0,14.25,https://www.elkar.eus/es/liburu_fitxa/rio-negro/indridason-arnaldur/9788490560969
Nire Maitea,Astrid Desbordes / Pauline Martin (il. ),12.2,11.59,https://www.elkar.eus/es/liburu_fitxa/nire-maitea/desbordes-astrid/martin-pauline-il/9788498436549
Gauzak Ez Ziren Sekula Berdinak Izango,Iñaki Irasizabal Izagirre,11.15,10.59,https://www.elkar.eus/es/liburu_fitxa/gauzak-ez-ziren-sekula-berdinak-izango/irasizabal-izagirre-inaki/9788490275764
Señales De Humo - Manual De Literatura Para Canibales 1,Rafael Reig,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/senales-de-humo-manual-de-literatura-para-canibales-1/reig-rafael/9788490662847
Argia,Peru Magdalena Arriaga,16.0,15.2,https://www.elkar.eus/es/liburu_fitxa/argia/magdalena-arriaga-peru/9788490275436
